org_name,last_updated,neighborhood,address,latitude,longitude,site_updates,currently_open_for_receiving,opening_for_receiving,closing_for_receiving,currently_open_for_distributing,opening_for_distributing,closing_for_distributing,urgent_need,accepting,not_accepting,seeking_volunteers,seeking_translators,hot_meals,legal_support,covid_testing,pet_vaccination_health,pet_food,housing_support,food_delivery,wheelchair_accessible,elder,youth,baby_toddler,immigration_naturalization,eye_exams,dental,transportation_vouchers,clothing,insurance_not_needed,refugee_services,vaccinations_general,mental_health_services,healing_resources,art_resources,community_service,education,lgbtqia_supportive,qtibpoc_supportive,trans_supportive,black_run,indigenous_owned,community_run,spanish_speaking,somali_speaking,karen_speaking,memorial_space,medic_on_site,protest,seeking_money,seeking_money_url,delivery_only,distribution_to_residents_only,restricted_distribution,produce,household_supplies,needle_exchange,warming_site,no_id_needed,some_info_required,by_appointment,black_own,indigenous_run,public_transit,COVID_Vaccination
The Link CORE Youth Drop-in Center,4/6/2022 7:25pm,SW Suburbs,"7800 W County Road 42, Apple Valley, MN 55124",44.7318397,-93.2024369,"C.O.R.E Drop-in Center provides a place where youth (ages 16-24) who are at-risk of or are currently experiencing homelessness can get help with basic needs (food, clothes, shower, laundry, etc.). *Must have a connection to Dakota County!

Drop in without an appointment:
Monday - Friday: 2:00pm-5:00pm

Some of the services and programming available at C.O.R.E. include:
-Assistance with benefits and public assistance applications
-Transportation assistance
-Meals
-Referrals and access to shelter and housing
-Hygiene kits and other basic needs
-Laundry and showers
-Use of phone number and mailing address for a job 

The Link is the youth provider of Coordinated Entry for Dakota County. We have a staff member that is housed out of C.O.R.E. that works in partnership with Dakota County to conduct youth coordinated entry. Mobile assessments and on-going support throughout the coordinated entry process are provided through The Link’s youth coordinated entry staff and C.O.R.E. Drop-In Center staff.",no,----,,no,----,,"(as of 4/6) 
Amazon Wishlist:
https://www.amazon.com/hz/wishlist/ls/1AZXC20S40L58",,,,,,,,,,checked,,,,checked,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,420-BUS-(2 blocks),
CAER Food Shelf,8/24/2022 12:11pm,NW Suburbs,"12621 Elk Lake Rd NW, Elk River, MN 55330",45.3206796,-93.5890210,"Accepting Donations at Door C at the back of the building:
Monday 9am-3pm
Wednesday 9am-3pm
Thursday 12pm-5pm
Friday 9am-3pm
When arriving, please go to the door in the back of the building and ring the bell. Call 763-441-1020 for donation times available outside of regular business hours.

Distributing: 
Monday/Wednesday 10am-1:30pm
Thursday 4:30pm-6pm
Friday ​10am-12pm

In addition to regular offering, Kids Weekend CAER Packages distributed on Thursdays and Fridays during 2021-2022 school year. Available for families with school age children (K-12)

No identification required or proof of address required, but a name and address will be asked for.

Assistance available for minor car repairs and tires - info here: https://www.caerfoodshelf.org/car-caer
Emergency financial assistance info here: https://www.caerfoodshelf.org/financial-assistance",no,----,,no,----,,,"Pasta, instant rice, canned potatoes, canned pineapple, dried split peas, dried red beans, pasta/rice sides, grape juice (shelf stable), canned meat, soy/almond milk, milk, cereal, instant oatmeal, coffee/tea, peanut butter (chunky)

https://www.caerfoodshelf.org/food-shelf-donations",frozen or refrigerated grocery items,"Yes, individuals over 18 (youth & volunteer groups are still paused). More info here: https://www.caerfoodshelf.org/individual",,,,,,,,,,checked,checked,,,,,,checked,,,,,,,,,checked,checked,,,,,,,,,,,,,,,,,,,,checked,,,,,,
Calvary Food Shelf •••By Appointment Only••• ,4/10/2024 10:45pm,Bancroft,"3901 Chicago Ave, Minneapolis, MN 55407",44.9320410,-93.2620770,"Distributing BY APPOINTMENT on Wednesdays from 11:00am-3:00pm, and Saturdays 9:00am-1:00pm. 

No appointments are currently available. To join the waitlist, fill out the form here: https://docs.google.com/forms/d/e/1FAIpQLScJkhNAvwyELq8k-u6dOwkpEktTzuS49LFTUlzlFB9HjGA-Aw/viewform

Questions? Call or text 612-285-3876.

More information at calvaryfoodshelf.org",no,----,,no,----,,,"Financial support is the best way to contribute. If you're interested in donating food, get in touch: foodshelf@clchurch.org",,"Yes! sign up and information here: https://www.signupgenius.com/go/9040549aea722aaf85-calvary 

Especially looking for a volunteer to learn our help with answering phones at certain times of the week and responding to voicemails and texts.  Can be done remotely. Must be able to use Spanish and English on the phone.",,,,,,,,,,,,,,,,,,,,,,,,,,checked,checked,,,,,,,,,,,checked,https://www.clchurch.org/,,,,,,,,checked,,checked,,,5-BUS-(3 blocks),
Camden Collective/Salem Lutheran Church,7/7/2023 10:57pm,Webber-Camden,"4150 N Dupont Ave, Minneapolis, MN 55412",45.0312883,-93.2929778,"Hot dinners are served curbside every 
Tuesday 6:00 - 7:00 pm

Weekly Food Share
Saturdays: 1pm - 3pm

- Client-choice, walk-up line.
- Outside when the weather allows.
- Fresh fruit, vegetables, dairy, and meat choices.
- Spanish language support available.

Walk-ups welcome. Please wear a mask.
Everyone is welcome.

No ID required, but there will be a line as they can only allow a certain number of people in the donation area at a time. 
Call 612-521-3644 for more information, or look for future programming and events to be posted on the Facebook page:
https://www.facebook.com/CamdenCollective/

The after school program is currently paused due to space limitations.",no,----,,no,----,,,,,"(as of 12/2022)
Yes! 
Every Thursday midday to unload food delivery truck.
Delivery time varies between 11-1; we know two days before.
Sign Up: https://www.signupgenius.com/go/10c0c45acad2aa5f4cf8-2023#/ 

Learning center volunteers: https://thecamdencollective.org/learning-center/#join",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://thecamdencollective.org/donate/,,,,,,,,checked,,,,,"5-BUS-(2 blocks),721 Ltd Stop-BUS-(2 blocks)",
Camden Promise / Gethsemane Lutheran Church,11/26/2023 10:56am,Lind-Bohanon,"4656 Colfax Ave N, Minneapolis, MN 55412",45.0400769,-93.2923811,"Donation Receiving hours:
Monday - Saturday: 10:00am-12:00pm

Grocery box Distributing hours:
Monday - Saturday: 12:00pm-2:30pm

Closed Sundays.

Stop by the corner of 47th & Colfax to get a meal and box of groceries to take home for you and your family. Everyone in our community is welcome! 

All food distributions last until supplies are gone.

Website: http://www.thecamdenpromise.org/",no,----,,no,----,,,"(as of 8/8) Food (hamburgers, brats, buns, single serving juice, single serving chips, nonperishable food supplies), baby supplies (baby wipes, diapers in larger sizes), cleaning supplies, toilet paper, hair care products for textured hair, menstrual products. ",,"(as of 12/2023)
Yes, for food programming every Monday through Saturday: glcmpls.org/volunteering.html ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.amothersloveinitiative.org/donate,,,,checked,checked,,,checked,,,,,22-BUS-(1 block),
Campus Cupboard at Augsburg College,5/17/2023 12:22pm,Cedar Riverside,"2211 Riverside Ave, Minneapolis, MN 55454",44.9668218,-93.2417957,"Campus Cupboard In-Person Shopping in Anderson 26. The most accessible entrance is the 2016 S. 8th St entrance.
Summer 2023 Hours:
Monday 12-4 pm
Tuesday 2-6 pm
Wednesday 2-6 pm
Appointments on request 

Campus Kitchen hosts cooking workshops in the Food Lab (Hagfors 108) almost every week. Email campuskitchen@augsburg.edu to get added to the Food Lab email list and learn about upcoming events.

Students who live off campus:
If you can’t make it to campus for in-person shopping, email campuskitchen@augsburg.edu to sign up for an off-campus grocery delivery.

Learn more:
https://sites.augsburg.edu/foodshelf/ 
https://www.augsburg.edu/campuskitchen/  

Email jacobsn@augsburg.edu with questions.  Please contact Natalie Jacobson at 773-706-0641 (text preferred) to donate by appointment only. If you can’t make it to campus for in-person shopping, email campuskitchen@augsburg.edu to sign up for an off-campus grocery delivery.",no,----,,no,----,,,"(as of 9/7) Ramen (all flavors), pasta (spaghetti preferred), rice, canned beans, single serve mac and cheese (cups), personal care items (e.g. lotion, shampoo, mouthwash, toothpaste), honey, oils, trail mix, fufu flour, spices, salt and pepper, soy sauce, snacks (e.g. Goldfish), paper grocery bags
 
Campus Cupboard gladly accepts monetary donations. To support us during this time, donate through Augsburg’s general donation page. ***Make sure to designate your donation to Other>Campus Kitchen.***

https://advancement.augsburg.edu/donations/general-donation 
",,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://advancement.augsburg.edu/donations/general-donation ,,,checked,,,,,checked,,,,,"2-BUS-(1 block),7-BUS-(1 block)",
CAPI,1/28/2024 4:28am,NW Suburbs,"5930 Brooklyn Blvd, Brooklyn Center, MN",45.0633527,-93.3248943,"Food shelf open to Hennepin County residents: 
Tuesday: 1pm - 4pm
Wednesday & Thursday: 9am - 12pm and 1pm - 4pm. 

Fresh produce distribution
2nd. & 4th Thursdays of the month: 1pm* - 3pm, or until supplies are gone. *Numbers handed out at 12:30pm

Accepting hours:
Mon - Thurs, 9am - 4pm
Please park in front of the food shelf and a staff member or volunteer will greet you at the door to collect items; no appointment needed

CAPI is no longer providing curbside pickup. Those visiting the food shelf may come inside and choose their own items. Call 612-756-8958 or email our Intake Coordinator to schedule an appointment to enroll or re-enroll in the food shelf program. Those in need of emergency assistance may come pick up items once every six months.

Eligibility Guidelines:
Resident of Hennepin County
300% or below the Federal Poverty Guidelines",no,----,,no,----,,,"Non-perishable food items and groceries

Financial Donations accepted by visiting https://www.capiusa.org/donate/",,"Yes, for the food shelf and occasionally other opportunities. Details: https://www.capiusa.org/get-involved/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.capiusa.org/donate/,,,,,,,,checked,,,,,723-BUS-(2 blocks),
The Mary F. Frey Minneapolis Opportunity Center,3/22/2023 10:40am,Elliot Park,"740 E 17th St, Minneapolis, MN 55404",44.9665304,-93.2627872,"Monday-Friday 7:00 am- 3:00 pm
Saturday 7:00 am- 1:00 pm

We offer daytime resources connecting people with medical and mental health care, breakfast (7:00am-8:00 am) and lunch (11:20am-12:20pm), showers, internet access, laundry and employment counseling.

Additional services include counseling services, employment assistance: job search, resumes, one-on-one support and access to job skills training, screening for county benefits, shelter, mental health services, medical and other programs, legal assistance, ID and birth certificate access, SNAP and MNSure enrollment assistance, foot care, haircuts, lockers, voicemail, mail.

Call for more information: (612) 204-8300 or go to https://www.cctwincities.org/locations/opportunity-center/  ",no,----,,no,----,,,,,Find volunteering info at  https://www.cctwincities.org/volunteer/volunteer-opportunities/,,,checked,,,,,,,,,,,,,,,,,,checked,,,,checked,,,,,,,,,,,,,checked, https://www.cctwincities.org/donate/donate-now/,,,,,,,,,,,,,"5-BUS-(1 block),9-BUS-(1 block)",checked
Food in the Hood: Cedar Valley Church,11/8/2023 10:43am,SW Suburbs,"8600 Bloomington Ave S, Bloomington, MN 55425",44.8459645,-93.2541196,"The food pantry is open for distribution the 
1st and 3rd Tuesday of each month: 5pm-7pm.

Everyone is welcome, no appointment necessary. Participants are provided with a week's worth of groceries.",no,----,,no,----,,,,,"(as of 3/2023) Yes, find info here: https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,538-BUS-(1 block),
Centennial Community Food Shelf,3/1/2023 9:28pm,North Suburbs,"200 Civic Heights Cir, Circle Pines, MN 55014",45.1437666,-93.1549175,"Food distribution hours are:
Monday and Thursday 4pm-6pm. 
No appointment needed; clients can visit twice a month (but be aware that this will soon return to once a month). No ID required, but some household information will be collected for reporting to Second Harvest.

Donations can be given at food shelf by appointment. Due to COVID constraints, you must call (763-784-2013) to make an appointment to donate food items. 

More information is available at http://www.centennialfoodshelf.org/.

Eligible families or individuals will receive a cart of groceries including fresh dairy, meat, some fruits and vegetables; cereal, bread, canned items, pasta, meal preparation items, and often hygiene and household items. ",no,----,,no,----,,,"Food donations:
Baking supplies (sugar, flour, Bisquick), boxed potatoes or stuffing, cake mixes/frosting, canned meat, chicken/chili/stew, cereal - hot and cold, chips/snacks, coffee/tea, crackers/cookies, fruit - canned, fruit juice, Jell-O/pudding, ketchup/condiments/BBQ Sauce, jelly/jam (store purchased only), pasta sides/canned ravioli/SpaghettiOs,
etc.; peanut butter, rice - plain white and brown, salad dressing/mayonnaise, soup - Hearty Campbell’s and Progresso; spaghetti sauce, syrup/pancake mix, tomatoes -diced, Manwich, sauce, pasta, vegetables - canned

Packaging donations:
Birthday bags, paper bags (recycled, in good condition), plastic bags (recycled, in good condition)

Personal hygiene products:
Hand and bath soaps/Purell, shampoo/conditioner, antiperspirant/deodorant, baby wipes/diapers

Cleaning Products:
Laundry soap/detergent, dish soap, paper products (paper towels, toilet
paper, facial tissues)",,(as of 03/2023) Yes - info here: http://www.centennialfoodshelf.org/volunteer.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,http://www.centennialfoodshelf.org/donations.html,,,checked,,,,,checked,checked,,,,,
Chester Creek Chiropractic - Cloth Diaper Drive,3/6/2023 10:09am,East St. Paul,"1324 E 4th St, Duluth, Minnesota 55805",46.8025994,-92.0852149,"Hours for accepting cloth diapers and supplies for the MN Cloth Diaper Bank ( https://www.mnclothdiaperbank.org ): 

Monday: 8:30am-1:00pm & 2:00pm-5:30pm
Tuesday: 8:30am-1:00pm
Wednesday: 8:30am-1:00pm & 2:00pm-5:30pm
Thursday: 8:30am-1:00pm & 2:00pm-5:30pm
Friday: 8:30am-1:00pm",no,----,,no,----,,,"Cloth Diaper Supply donations can include: clean, good functioning cloth diapers (flats, covers, pockets, AIO, etc), trainers, snappis, wipes, wet bags, pail liners, other supplies to support cloth families!",Only accepting cloth diaper related items,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.mnclothdiaperbank.org/donate-5,,,,,,,,,,,,,"23-BUS-(1 block),13-BUS-(2 blocks)",
Child and Family Chiropractic - Cloth Diaper Drive,6/16/2022 7:18pm,SW Suburbs,"8120 Penn Ave S #245, Bloomington, MN 55431",44.8560639,-93.3106049,"Hours for accepting donations:
Monday, Wednesday, Thursday: 9:00am - 6:00pm
Tuesday 2:00pm - 6:00pm
Friday: 9:00am - 2:00pm

Donations are accepted during Child and Family Chiropractic's business hours.",no,----,,no,----,,,"Cloth Diaper Supply donations can include: clean, good functioning cloth diapers (flats, covers, pockets, AIO, etc), trainers, snappis, wipes, wet bags, pail liners, other supplies to support cloth families!",Only accepting cloth diaper related items,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.mnclothdiaperbank.org/donate-5,,,,,,,,,,,,,539-BUS-(2 blocks),
